"Symbol","EndDate","Source","StateTypeCode","RDPerson","RDPersonRatio","RDSpendSum","RDSpendSumRatio"
"000065","2020-12-31","0","1","93","29.9000","117869597.5400","0.9200"
"000065","2021-12-31","0","1","213","10.4400","157998875.5700","1.2100"
"000066","2007-12-31","0","1","","","38750000.0000",""
"000066","2012-12-31","0","1","","","1853696770.4800","2.3200"
"000066","2013-12-31","0","1","","","1712053099.6100","2.2000"
"000066","2014-12-31","0","1","","","1732316230.8400","2.2900"
"000066","2015-12-31","0","1","6914","17.8600","1464388561.0500","2.0100"
"000066","2016-12-31","0","1","6505","17.9300","1485414942.8200","2.1500"
"000066","2017-12-31","0","1","3787","27.3800","601793875.2900","6.3300"
"000066","2018-12-31","0","1","3577","25.8300","749470258.6200","7.4900"
"000066","2019-12-31","0","1","4240","31.2400","966755960.6300","8.9200"
"000066","2020-12-31","0","1","4781","31.0300","1116471762.2100","7.7300"
"000066","2021-12-31","0","1","5277","31.3400","1383301877.4900","7.7800"
"000068","2014-12-31","0","1","","","4371493.6500",""
"000068","2015-12-31","0","1","","","15790951.7700",""
"000068","2016-12-31","0","1","64","23.7900","24539949.6600","8.2500"
"000068","2017-12-31","0","1","42","7.5700","19024853.6600","4.6100"
"000068","2018-12-31","0","1","51","9.4300","20582560.4500","10.0000"
"000068","2019-12-31","0","1","39","7.0400","14746067.0200","6.5500"
"000068","2020-12-31","0","1","29","6.0200","9824042.8200","4.3000"
"000068","2021-12-31","0","1","69","10.2700","22842477.5100","2.4400"
"000069","2015-12-31","0","1","273","1.1200","45800022.4700","0.1400"
"000069","2016-12-31","0","1","317","1.3000","37844919.9400","0.1100"
"000069","2017-12-31","0","1","231","0.9200","28495101.9200","0.0700"
"000070","2010-12-31","0","1","","","32003743.3400",""
"000070","2012-12-31","0","1","","","61040000.0000","3.7900"
"000070","2013-12-31","0","1","","","64530000.0000","4.1100"
"000070","2014-12-31","0","1","","","86180000.0000","4.5000"
"000070","2015-12-31","0","1","420","12.4300","111199390.6700","4.5400"
"000070","2016-12-31","0","1","558","12.5600","211098718.9100","4.5800"
"000070","2017-12-31","0","1","726","14.7700","243039765.1600","4.4400"
"000070","2018-12-31","0","1","704","14.6400","230212770.8900","4.0300"
"000070","2019-12-31","0","1","664","15.4500","250827590.4100","5.3900"
"000070","2020-12-31","0","1","628","18.3600","262276483.6400","5.5500"
"000070","2021-12-31","0","1","539","19.2200","301318564.5900","6.5600"
"000078","2007-12-31","0","1","","","15000000.0000",""
"000078","2008-12-31","0","1","","","20650000.0000",""
"000078","2009-12-31","0","1","","","19606507.6900",""
"000078","2010-12-31","0","1","","","8371841.5300",""
"000078","2011-12-31","0","1","","","6577980.8900",""
"000078","2012-12-31","0","1","","","53139704.7600","0.8300"
"000078","2013-12-31","0","1","","","64039763.3100","0.8000"
"000078","2014-12-31","0","1","","","57280300.0000","0.5800"
"000078","2015-12-31","0","1","149","3.1000","60569404.1300","0.5400"
"000078","2016-12-31","0","1","171","3.0400","50663853.2700","0.3700"
"000078","2017-12-31","0","1","130","1.4900","56485643.0200","0.2300"
"000078","2018-12-31","0","1","162","1.3900","74570301.2700","0.1900"
"000078","2019-12-31","0","1","145","1.2800","64879302.2800","0.1600"
"000078","2020-12-31","0","1","136","1.3000","50495616.4000","0.1300"
"000078","2021-12-31","0","1","137","1.4200","51859983.1300","0.1300"
"000088","2020-12-31","0","1","22","2.5900","502505.1300","0.0900"
"000088","2021-12-31","0","1","12","1.4200","1553163.4000","0.2300"
"000090","2011-12-31","0","1","","","7283354.4200",""
"000090","2012-12-31","0","1","","","8833800.0000","0.2900"
"000090","2013-12-31","0","1","","","7667900.0000","0.1700"
"000090","2014-12-31","0","1","","","12729800.0000","0.2400"
"000090","2015-12-31","0","1","85","3.1000","14702618.1600","0.2300"
"000090","2016-12-31","0","1","80","2.8800","10470870.3500","0.1700"
"000090","2017-12-31","0","1","184","3.1000","25701899.9600","0.3800"
"000090","2018-12-31","0","1","193","2.5800","32023715.9600","0.3100"
"000090","2019-12-31","0","1","237","2.4900","113104554.2800","0.7700"
"000090","2020-12-31","0","1","294","2.6100","142639375.0000","0.8300"
"000090","2021-12-31","0","1","380","3.0300","416461502.8100","1.7900"
"000099","2020-12-31","0","1","129","12.8400","22834568.0500","1.4700"
"000099","2021-12-31","0","1","129","12.3300","50707578.0600","3.0200"
"000099","2022-12-31","0","1","29","2.7000","15324624.2200","0.8500"
"000100","2000-12-31","1","1","","","450000000.0000","4.1000"
"000100","2001-12-31","1","1","","","586000000.0000","4.6000"
"000100","2002-12-31","1","1","","","877000000.0000","4.0000"
"000100","2003-06-30","1","1","1173","3.3000","520000000.0000","4.1000"
"000100","2007-12-31","0","1","2004","4.3000","",""
