证券代码,证券简称,辖区,证监会行业,申万行业,内部控制指数评级,内部控制指数评分,报告期
002819.SZ,东方中科,北京辖区,批发业,仪器仪表,BB,724.04,2022-12-31
688033.SH,天宜上佳,北京辖区,铁路、船舶、航空航天和其他运输设备制造业,轨交设备Ⅲ,BB,723.97,2022-12-31
000625.SZ,长安汽车,重庆辖区,汽车制造业,综合乘用车,BB,723.91,2022-12-31
000810.SZ,创维数字,四川辖区,计算机、通信和其他电子设备制造业,其他黑色家电,BB,723.86,2022-12-31
000404.SZ,长虹华意,江西辖区,通用设备制造业,家电零部件Ⅲ,BB,723.78,2022-12-31
603129.SH,春风动力,浙江辖区,铁路、船舶、航空航天和其他运输设备制造业,摩托车,BB,723.74,2022-12-31
000619.SZ,海螺新材,安徽辖区,橡胶和塑料制品业,其他建材,BB,723.53,2022-12-31
300887.SZ,谱尼测试,北京辖区,专业技术服务业,检测服务,BB,723.51,2022-12-31
300958.SZ,建工修复,北京辖区,生态保护和环境治理业,综合环境治理,BB,723.17,2022-12-31
300121.SZ,阳谷华泰,山东辖区,化学原料和化学制品制造业,橡胶助剂,BB,723.08,2022-12-31
601811.SH,新华文轩,四川辖区,新闻和出版业,教育出版,BB,723.07,2022-12-31
300769.SZ,德方纳米,深圳辖区,"电气机械和器材制造业 ",电池化学品,BB,723.01,2022-12-31
002488.SZ,金固股份,浙江辖区,汽车制造业,轮胎轮毂,BB,722.58,2022-12-31
603185.SH,弘元绿能,江苏辖区,专用设备制造业,硅料硅片,BB,722.56,2022-12-31
002261.SZ,拓维信息,湖南辖区,软件和信息技术服务业,垂直应用软件,BB,722.37,2022-12-31
301060.SZ,兰卫医学,上海辖区,卫生,诊断服务,BB,722.36,2022-12-31
600096.SH,云天化,云南辖区,化学原料和化学制品制造业,磷肥及磷化工,BB,722.23,2022-12-31
000959.SZ,首钢股份,北京辖区,"黑色金属冶炼和压延加工业 ",板材,BB,722.18,2022-12-31
688131.SH,皓元医药,上海辖区,研究和试验发展,医疗研发外包,BB,721.97,2022-12-31
300866.SZ,安克创新,湖南辖区,计算机、通信和其他电子设备制造业,品牌消费电子,BB,721.87,2022-12-31
600662.SH,外服控股,上海辖区,道路运输业,人力资源服务,BB,721.86,2022-12-31
600791.SH,京能置业,北京辖区,房地产业,住宅开发,BB,721.78,2022-12-31
603997.SH,继峰股份,宁波辖区,汽车制造业,车身附件及饰件,BB,721.77,2022-12-31
601166.SH,兴业银行,福建辖区,货币金融服务,股份制银行Ⅲ,BB,721.7,2022-12-31
002836.SZ,新宏泽,广东辖区,印刷和记录媒介复制业,纸包装,BB,721.62,2022-12-31
603230.SH,内蒙新华,内蒙古辖区,新闻和出版业,大众出版,BB,721.55,2022-12-31
300002.SZ,神州泰岳,北京辖区,软件和信息技术服务业,游戏Ⅲ,BB,721.54,2022-12-31
002595.SZ,豪迈科技,山东辖区,专用设备制造业,其他专用设备,BB,721.49,2022-12-31
300590.SZ,移为通信,上海辖区,计算机、通信和其他电子设备制造业,通信终端及配件,BB,721.23,2022-12-31
000034.SZ,神州数码,深圳辖区,批发业,IT服务Ⅲ,BB,721.21,2022-12-31
600876.SH,凯盛新能,河南辖区,非金属矿物制品业,玻璃制造,BB,720.82,2022-12-31
605399.SH,晨光新材,江西辖区,化学原料和化学制品制造业,有机硅,BB,720.77,2022-12-31
600256.SH,广汇能源,新疆辖区,石油和天然气开采业,油品石化贸易,BB,720.6,2022-12-31
002674.SZ,兴业科技,福建辖区,皮革、毛皮、羽毛及其制品和制鞋业,辅料,BB,720.59,2022-12-31
603966.SH,法兰泰克,江苏辖区,通用设备制造业,能源及重型设备,BB,720.56,2022-12-31
601928.SH,凤凰传媒,江苏辖区,新闻和出版业,教育出版,BB,720.55,2022-12-31
688087.SH,英科再生,山东辖区,"废弃资源综合利用业  ",其他塑料制品,BB,720.53,2022-12-31
600129.SH,太极集团,重庆辖区,"医药制造业 ",中药Ⅲ,BB,720.46,2022-12-31
000408.SZ,藏格矿业,青海辖区,化学原料和化学制品制造业,锂,BB,720.45,2022-12-31
603105.SH,芯能科技,浙江辖区,"电气机械和器材制造业 ",光伏发电,BB,720.25,2022-12-31
688232.SH,新点软件,江苏辖区,软件和信息技术服务业,垂直应用软件,BB,720.08,2022-12-31
002737.SZ,葵花药业,黑龙江辖区,"医药制造业 ",中药Ⅲ,BB,720,2022-12-31
002554.SZ,惠博普,湖南辖区,开采辅助活动,油气及炼化工程,BB,719.8,2022-12-31
600060.SH,海信视像,青岛辖区,计算机、通信和其他电子设备制造业,彩电,BB,719.56,2022-12-31
000517.SZ,荣安地产,宁波辖区,房地产业,住宅开发,BB,719.39,2022-12-31
600735.SH,新华锦,青岛辖区,皮革、毛皮、羽毛及其制品和制鞋业,其他饰品,BB,719.38,2022-12-31
002203.SZ,海亮股份,浙江辖区,有色金属冶炼和压延加工业,铜,BB,719.23,2022-12-31
600770.SH,综艺股份,江苏辖区,综合,综合Ⅲ,BB,719.09,2022-12-31
